Name,Bike Station Id,Category
Avis Rent A Car,0,['Rental Car Location']
Budget Truck Rental,0,['Rental Car Location']
Advantage Rent A Car,0,['Rental Car Location']
Enterprise Rent-A-Car,0,['Rental Car Location']
Flight Car,0,['Rental Car Location']
Avis Budget Group,1,['Rental Car Location']
Hetrtz,1,['Rental Car Location']
Firefly East Boston,1,['Rental Car Location']
Dollar Rent A Car,1,['Rental Car Location']
National Car Rental,1,['Rental Car Location']
Thrifty Car Rental,1,['Rental Car Location']
Unified Rental Car Center,1,['Rental Car Location']
Rental Car Center - Airport Boston,1,['Rental Car Location']
Exotic Car Collection by Enterprise,1,['Rental Car Location']
Hertz Rent A Car,1,['Rental Car Location']
Logan Int'l-Rental Car Complex,1,['Rental Car Location']
Alamo,1,['Rental Car Location']
Enterprise Holdings,1,['Rental Car Location']
Avis Budget Group,2,['Rental Car Location']
Hetrtz,2,['Rental Car Location']
Firefly East Boston,2,['Rental Car Location']
Dollar Rent A Car,2,['Rental Car Location']
Thrifty Car Rental,2,['Rental Car Location']
National Car Rental,2,['Rental Car Location']
Unified Rental Car Center,2,['Rental Car Location']
Rental Car Center - Airport Boston,2,['Rental Car Location']
Exotic Car Collection by Enterprise,2,['Rental Car Location']
Hertz Rent A Car,2,['Rental Car Location']
Logan Int'l-Rental Car Complex,2,['Rental Car Location']
Alamo,2,['Rental Car Location']
Enterprise Holdings,2,['Rental Car Location']
FlightCar,3,['Rental Car Location']
Flight Car,3,['Rental Car Location']
Enterprise Rent-A-Car,3,['Rental Car Location']
Avis Rent A Car,3,['Rental Car Location']
Alamo,3,['Rental Car Location']
Enterprise Truck Rental,3,['Rental Car Location']
Silvercar by Audi,3,['Rental Car Location']
Avis Budget Group,4,['Rental Car Location']
Hetrtz,4,['Rental Car Location']
Dollar Rent A Car,4,['Rental Car Location']
Firefly East Boston,4,['Rental Car Location']
Enterprise,5,['Rental Car Location']
Zipcar,5,['Rental Car Location']
U-Haul Neighborhood Dealer,6,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Jackson Square Station,6,['Rental Car Location']
Boston Luxury Rental Cars,6,['Rental Car Location']
Budget Truck Rental,6,['Rental Car Location']
Enterprise CarShare,6,['Rental Car Location']
Enterprise Rent-A-Car,7,['Rental Car Location']
Alamo,7,['Rental Car Location']
Zipcar,7,['Rental Car Location']
Zipcar Elmer St,7,['Rental Car Location']
Avis Rent A Car,7,['Rental Car Location']
Budget Rent A Car,7,['Rental Car Location']
U-Haul Moving & Storage,7,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcar 955 Mass Ave,7,['Rental Car Location']
Zipcar Centre St/Hancock,7,['Rental Car Location']
Zipcar Soldier's Field Park - One Western Ave,7,['Rental Car Location']
Ryder,8,['Rental Car Location']
U-Haul Moving & Storage,8,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
U-Haul Neighborhood Dealer,8,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Budget Rent A Car,8,['Rental Car Location']
Hertz Equipment Rental,8,['Rental Car Location']
Alamo,8,['Rental Car Location']
Enterprise Rent-A-Car,8,['Rental Car Location']
Thrifty Car Rental,8,['Rental Car Location']
Zipcar Cambridge St/Columbia St,9,['Rental Car Location']
RelayRides,9,['Rental Car Location']
U-Save Car & Truck Rental,9,['Rental Car Location']
Zipcar Kendall Cinema,9,['Rental Car Location']
Zipcar Broadway/Ellsworth Ave,9,['Rental Car Location']
Zipcar Centre St/Hancock,9,['Rental Car Location']
U-Haul Moving & Storage,9,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcar Broadway/Ellery,9,['Rental Car Location']
Alamo,9,['Rental Car Location']
Enterprise Rent-A-Car,9,['Rental Car Location']
Zipcar,9,['Rental Car Location']
Zipcar Worcester St/Shawmut Ave,10,['Rental Car Location']
Zipcar,10,['Rental Car Location']
Zipcar Huntington Ave/Cumberland,10,['Rental Car Location']
Dollar Rent A Car,10,['Rental Car Location']
Zipcar Belvidere St/Prudential Center Garage,10,['Rental Car Location']
Enterprise Rent-A-Car,10,['Rental Car Location']
Alamo,10,['Rental Car Location']
Zipcar Prudential,10,['Rental Car Location']
Avis Rent A Car,10,['Rental Car Location']
Budget Car Rental,10,['Rental Car Location']
Zipcar 100 Clarendon Garage,10,['Rental Car Location']
Finesse Autos,10,['Rental Car Location']
Zipcar Exeter St/Prudential Center Garage,10,['Rental Car Location']
Hertz Rent A Car,10,['Rental Car Location']
Hertz Sheraton Boston Hotel,10,['Rental Car Location']
Zipcar 500 Harrison,10,['Rental Car Location']
Enterprise CarShare,10,['Rental Car Location']
National Car Rental,10,['Rental Car Location']
Zipcar Tremont/Burney St,11,['Rental Car Location']
Enterprise CarShare,11,['Rental Car Location']
Zipcar,11,['Rental Car Location']
Zipcar Children's Hospital Boston,11,['Rental Car Location']
Jackson Square Station,11,['Rental Car Location']
Finesse Autos,12,['Rental Car Location']
Zipcar Belvidere St/Prudential Center Garage,12,['Rental Car Location']
Alamo,12,['Rental Car Location']
Zipcar Prudential,12,['Rental Car Location']
Enterprise Rent-A-Car,12,['Rental Car Location']
Zipcar Exeter St/Prudential Center Garage,12,['Rental Car Location']
Zipcar Huntington Ave/Cumberland,12,['Rental Car Location']
Dollar Rent A Car,12,['Rental Car Location']
Enterprise CarShare,12,['Rental Car Location']
Hertz Sheraton Boston Hotel,12,['Rental Car Location']
Hertz Rent A Car,12,['Rental Car Location']
Zipcar,12,['Rental Car Location']
Zipcar 100 Clarendon Garage,12,['Rental Car Location']
Budget Car Rental,12,['Rental Car Location']
Avis Rent A Car,12,['Rental Car Location']
Zipcar Gainsborough St,12,['Rental Car Location']
Zipcar Worcester St/Shawmut Ave,12,['Rental Car Location']
National Car Rental,12,['Rental Car Location']
Zipcar,13,['Rental Car Location']
Boston Car Rental-1stCar,13,['Rental Car Location']
Avis Rent A Car,13,['Rental Car Location']
Enterprise Rent-A-Car,13,['Rental Car Location']
Eoc,13,['Rental Car Location']
Zipcar Archstone Boston Common,13,['Rental Car Location']
Car Trawler,13,['Rental Car Location']
Zipcar PI Alley Garage,13,['Rental Car Location']
Zipcar Post Office Sq,13,['Rental Car Location']
National Car Rental,13,['Rental Car Location']
Zipcar Boston Harbor Garage,13,['Rental Car Location']
Alamo Rent A Car,13,['Rental Car Location']
Budget Rent A Car,13,['Rental Car Location']
Budget Car Rental,13,['Rental Car Location']
Zipcar Mass Eye and Ear,13,['Rental Car Location']
Alamo,13,['Rental Car Location']
Select Car Rental,13,['Rental Car Location']
Zipcar Post Office Sq,14,['Rental Car Location']
Zipcar PI Alley Garage,14,['Rental Car Location']
Budget Rent A Car,14,['Rental Car Location']
Zipcar,14,['Rental Car Location']
Zipcar Mass Eye and Ear,14,['Rental Car Location']
Avis Rent A Car,14,['Rental Car Location']
Budget Car Rental,14,['Rental Car Location']
Eoc,14,['Rental Car Location']
Alamo,14,['Rental Car Location']
Zipcar Government Center Garage,14,['Rental Car Location']
Enterprise Rent-A-Car,14,['Rental Car Location']
Alamo Rent A Car,14,['Rental Car Location']
National Car Rental,14,['Rental Car Location']
Enterprise,14,['Rental Car Location']
Car Trawler,14,['Rental Car Location']
Zipcar Boston Harbor Garage,14,['Rental Car Location']
Rent A Geek,14,['Rental Car Location']
Dollar Rent A Car,14,['Rental Car Location']
Boston Car Rental-1stCar,14,['Rental Car Location']
Zipcar Archstone Boston Common,14,['Rental Car Location']
Zipcar,15,['Rental Car Location']
Zipcar Park Dr/Jersey,15,['Rental Car Location']
Zipcar Queensberry St/Park Dr,15,['Rental Car Location']
Zipcar Tremont/Burney St,15,['Rental Car Location']
Zipcar Children's Hospital Boston,15,['Rental Car Location']
Zipcar Gainsborough St,15,['Rental Car Location']
Zipcar West Broadway/F St,16,['Rental Car Location']
Ryder Truck Rental,16,['Rental Car Location']
Enterprise,16,['Rental Car Location']
Enterprise Rent-A-Car,16,['Rental Car Location']
Alamo,16,['Rental Car Location']
Zipcar,16,['Rental Car Location']
Zipcar Comm Ave/Strathmore,17,['Rental Car Location']
Zipcar,17,['Rental Car Location']
Zipcar Cleveland Circle T,17,['Rental Car Location']
SBS Wireless,17,['Rental Car Location']
Zipcar Newbury College,17,['Rental Car Location']
Zipcar Dighton St,17,['Rental Car Location']
Alamo,17,['Rental Car Location']
Zipcar Washington St/Corey Rd,17,['Rental Car Location']
Zipcar Kendall Cinema,18,['Rental Car Location']
