Name,Bike Station Id,Category
El Paisa Orient Heights,0,"['Latin American Restaurant', 'Mexican Restaurant']"
Angela's Cafe Orient Heights,0,['Mexican Restaurant']
El Paisa Butchery,0,"['Deli', 'Meat and Seafood Store']"
Renegade's Pub,0,"['Cocktail Bar', 'Pub', 'Burger Joint']"
E. Umi Sushi,0,['Sushi Restaurant']
Sunny Cafe,0,['Sushi Restaurant']
Cafe Orient Heights,0,"['Asian Restaurant', 'Japanese Restaurant', 'Korean Restaurant']"
Little Asia Restaurant,0,['Restaurant']
Little Asia,0,"['Asian Restaurant', 'Cantonese Restaurant']"
Donna's Restaurant,0,['American Restaurant']
Woody S Pizza,0,['Pizzeria']
Mama Blanca Restaurant,0,"['Mexican Restaurant', 'Salvadoran Restaurant', 'Spanish Restaurant']"
Tempo,0,['Seafood Restaurant']
New Saigon Restaurant,0,['Vietnamese Restaurant']
Melodias Restaurant,0,['Colombian Restaurant']
Kiosco Sabor De MI Tierra-Bar,0,"['Bar', 'Mexican Restaurant']"
La Fonda Colombiana,0,"['Bar', 'Restaurant']"
El Kiosco,0,"['Pizzeria', 'Latin American Restaurant', 'Mexican Restaurant']"
Great Chef Chinese Food Orient,0,['Chinese Restaurant']
Tequilas Mexican Bar & Grill,0,"['Bar', 'Mexican Restaurant']"
Mi Pueblito Orient Heights,0,"['Asian Restaurant', 'Mexican Restaurant']"
Luna's Italian & Latin Cuisine,0,"['Bar', 'Italian Restaurant', 'South American Restaurant']"
Lanzilli Grocery,0,['Deli']
Subway,0,"['Deli', 'Fast Food Restaurant']"
Burger King,0,"['Burger Joint', 'Fast Food Restaurant']"
Millie's Kitchen,0,"['Italian Restaurant', 'Kebab Restaurant']"
Royal Roast Beef & Seafood,0,"['American Restaurant', 'Fast Food Restaurant', 'Seafood Restaurant']"
Domino's Pizza,0,"['Pizzeria', 'Fast Food Restaurant']"
Napoles Restaurant,0,"['Sports Bar', 'Buffet', 'Colombian Restaurant']"
Brinkleys Restaurant & Pub,0,"['Bar', 'American Restaurant']"
Phantom Gourmet Safari,0,"['Hot Dog Joint', 'American Restaurant']"
Hong Kong Harbor Restaurant,1,['Chinese Restaurant']
La Cancun,1,"['Fast Food Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']"
D'Parma East Boston,1,['Italian Restaurant']
Nfarra2,1,"['Dive Bar', 'Mexican Restaurant']"
Papagayo,1,"['Latin American Restaurant', 'Mexican Restaurant']"
Legal Sea Foods,1,['Restaurant']
Crown Fried Chicken,1,['Fast Food Restaurant']
Cunard Tavern,1,"['Beer Bar', 'Gastropub', 'American Restaurant']"
Italian American,1,"['Arts and Entertainment', 'Bar', 'Italian Restaurant']"
Santa Fe Burrito Grill,1,['Mexican Restaurant']
Mi Rancho Restaurant,1,"['Colombian Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']"
Ledan,1,['Restaurant']
A & L Bakery,1,"['Bakery', 'Italian Restaurant']"
Toasted Flats,1,"['Coffee Shop', 'Sandwich Restaurant']"
Eagle Hill Cafe,1,['Restaurant']
Mehak Halal - Pakistani & Indian Cuisine,1,"['Halal Restaurant', 'Indian Restaurant', 'Pakistani Restaurant']"
The Quiet Few,1,"['Cocktail Bar', 'Whisky Bar', 'Burger Joint']"
Dough East Boston,1,['Pizzeria']
Dirty Water Dough,1,"['Pizzeria', 'Salad Restaurant', 'Sandwich Restaurant']"
La Abundansia,1,"['Bakery', 'Colombian Restaurant']"
Cafe Gigu,1,"['Lounge', 'Café', 'Latin American Restaurant']"
Latinos Restaurant,1,"['Latin American Restaurant', 'Mexican Restaurant']"
ReelHouse,1,"['American Restaurant', 'Seafood Restaurant']"
Pazza On Porter,1,"['Cocktail Bar', 'Lounge', 'Italian Restaurant']"
La Hacienda,1,"['Latin American Restaurant', 'Mexican Restaurant']"
Santarpio's Pizza,1,['Pizzeria']
Tori Japan,1,['Japanese Restaurant']
El Jardin,1,"['Bakery', 'Colombian Restaurant', 'Mexican Restaurant']"
Wingstop,1,['Fast Food Restaurant']
McDonald's,1,"['Burger Joint', 'Fast Food Restaurant']"
Logan International Airport Bar & Grill,1,['Restaurant']
Pollo Campero,1,['Fast Food Restaurant']
Oliveiras Steak House,1,"['Brazilian Restaurant', 'Steakhouse']"
Sea Biscuit,1,"['Bakery', 'Sandwich Restaurant']"
Casa Colombia,1,"['Bakery', 'Café', 'Colombian Restaurant']"
El Paisa Restaurante,1,['Restaurant']
Pizza Shuttle,1,['Pizzeria']
Harbor Pacific,1,"['Chinese Restaurant', 'Seafood Restaurant']"
Downeast Cider House,1,"['Brewery', 'Restaurant']"
El Penol,1,"['Latin American Restaurant', 'Peruvian Restaurant']"
Pollos A La Brasa Betos,1,"['Latin American Restaurant', 'Mexican Restaurant', 'Peruvian Restaurant']"
Seabiscuit,1,['Australian Restaurant']
La Casa Del Pandebono,1,['Salvadoran Restaurant']
East Boston House Of Pizza,1,['Pizzeria']
Cafe Meridian,1,"['Café', 'Restaurant']"
Via Veneto Restaurant,1,['Italian Restaurant']
Roy's Cold Cuts,1,"['Deli', 'Fast Food Restaurant', 'Sandwich Restaurant']"
La Reina Cafeteria,1,['Restaurant']
Cafeteria La Reina,1,['Mexican Restaurant']
Nfarra2,2,"['Dive Bar', 'Mexican Restaurant']"
