ID,Name,Review Count,Ratings,Category
0,100% Delicias,46,1.5,Restaurant
1,100% Delicias Express,7,4.0,Restaurant
2,110 Grill,63,3.73,Restaurant
3,110 Grill South Bay,0,4.0,Restaurant
4,1260 Boylston,0,4.0,Restaurant
5,1270 Boston,0,4.0,Restaurant
6,1369 Cafe House,0,4.0,Restaurant
7,1508 Tremont,0,4.0,Restaurant
8,1928 Beacon Hill,91,4.47,Restaurant
9,21St Amendment,0,4.0,Restaurant
10,224 Boston Street Restaurant,311,4.0,Restaurant
11,236 Brookline Corporation,0,4.0,Restaurant
12,24 Hour Pizza Delivery,44,1.0,Restaurant
13,2Nd Street Cafe,162,4.5,Restaurant
14,3 Amigos Bar And Grill,146,4.0,Restaurant
15,3 Little Figs,669,4.5,Restaurant
16,4 Corners Pizza,73,4.0,Restaurant
17,465 Bar And Restaurant,10,4.0,Restaurant
18,49 Social,0,4.0,Restaurant
19,4Th Wall Restaurant And Bar,147,4.0,Restaurant
20,5 Spices House Cambridge,107,4.0,Restaurant
21,50Kitchen,0,4.0,Restaurant
22,51 Lincoln,0,4.0,Restaurant
23,57 Lincoln Kitchen,25,4.5,Restaurant
24,7 Pond Cafe Bar,0,4.0,Restaurant
25,7 Subs,0,4.0,Restaurant
26,705 Cafe,0,0.0,Restaurant
27,"730 Tavern, Kitchen And Patio",0,4.0,Restaurant
28,75 Chestnut,437,4.0,Restaurant
29,75 On Liberty Wharf,99,3.73,Restaurant
30,753 South,108,4.5,Restaurant
31,8 10 Bar And Grill,89,3.5,Restaurant
32,8 Pizzas,0,4.0,Restaurant
33,9 Tastes Thai Cuisine,0,4.0,Restaurant
34,99 Restaurants,84,3.0,Restaurant
35,9Zaab,47,4.0,Restaurant
36,A And B Salem,0,4.0,Restaurant
37,A And J King Artisan Bakers,0,4.0,Restaurant
38,A And L Bakery,0,4.0,Restaurant
39,A And N Pizza,40,3.75,Restaurant
40,A K's,0,4.0,Restaurant
41,A K's Takeout,0,4.0,Restaurant
42,A-1 Restaurant Ventilation,0,4.0,Restaurant
43,A.T. O'Keeffe's,39,4.0,Restaurant
44,Abbondanza Italian Seafood,0,4.0,Restaurant
45,Abbondanza Pizza And Subs,0,4.0,Restaurant
46,Abbondanza Ristorante,84,3.5,Restaurant
47,Abe And Louie's,464,4.0,Restaurant
48,Abigail's Restaurant,0,4.0,Restaurant
49,Abigail's Tea Room,0,4.0,Restaurant
50,Abilyns Frozen Bakery,0,4.0,Restaurant
51,Abondi Z Caribbean Cuisine,5,5.0,Restaurant
52,About Scullers Jazz Club's Green Room,0,4.0,Restaurant
53,Ac Kitchen And Lounge,0,4.0,Restaurant
54,Ac | Kitchen,0,4.0,Restaurant
55,Acapulco Mexican Restaurant,31,3.42,Restaurant
56,Acapulco Restaurant,0,4.0,Restaurant
57,Aceituna Cafe,0,4.0,Restaurant
58,Aceituna Grill,361,4.0,Restaurant
59,Achilito's Taqueria,98,4.0,Restaurant
60,Achilitos Taqueria,8,4.0,Restaurant
61,Acitron Cocina Mexicana,371,4.0,Restaurant
62,Acougue Brasileiro,0,4.0,Restaurant
63,Across The Border Food Truck,1,4.0,Restaurant
64,Action Kitchen,0,4.0,Restaurant
65,Adams Corner Cafe,0,4.0,Restaurant
66,Adams Corner Cafe And Butcher,15,4.0,Restaurant
67,Addis Cafe,0,4.0,Restaurant
68,Adea's,0,4.0,Restaurant
69,Adea's Mediterranean Kitchen,0,4.0,Restaurant
70,Adriatic Restaurant And Bar,212,4.0,Restaurant
71,Advantage Car Rental,96,1.18,Car Rental
72,Adventure Vehicle Rental,1,2.0,Car Rental
73,Aeronaut Brewing Company,0,4.0,Restaurant
74,Aesops Bagels,0,4.0,Restaurant
75,Affordable Auto Rental,1,2.0,Car Rental
76,Agora Whispers Of Spring,0,4.0,Restaurant
77,Airport Diner,80,3.5,Restaurant
78,Ajeen,82,4.5,Restaurant
79,Aji,178,4.0,Restaurant
80,Aji Japanese Restaurant-Sushi Bar,0,4.0,Restaurant
81,Al Dente Restaurant,1384,4.0,Restaurant
82,Al Wadi,319,4.0,Restaurant
83,Al's South Street Cafe,0,4.0,Restaurant
84,Alamo,1,2.0,Car Rental
85,Alamo Car Rental,1,2.0,Car Rental
86,Alamo Roast Beef And Seafood,49,4.0,Restaurant
87,Alben,0,4.0,Restaurant
88,Alchemist Restaurant And Lounge,0,4.0,Restaurant
89,Alcove,198,4.0,Restaurant
90,Alden And Harlow,1466,4.0,Restaurant
91,Alecomfe Cafe And Restaurant,9,3.5,Restaurant
92,Alewife Cafe,0,0.0,Restaurant
93,Alex's Chimis,159,4.0,Restaurant
94,Alex's Kitchen,60,4.0,Restaurant
95,Alex's Kitchen Somerville,0,4.0,Restaurant
96,Alex's Pizza,0,4.0,Restaurant
97,Alexander's Pizza And Subs,0,4.0,Restaurant
98,Alfredo's,0,4.0,Restaurant
99,Alfredo's Italian Kitchen,23,3.94,Restaurant
100,Alfredo's Italian Kitchen - South Boston,241,4.0,Restaurant
101,Ali Baba,161,4.0,Restaurant
102,Ali's Roti Restaurant,69,4.0,Restaurant
103,Ali's Roti Restaurant And Takeout,73,4.0,Restaurant
104,Alibi,0,4.0,Restaurant
105,Alive And Kicking Lobsters,853,4.45,Restaurant
106,All About Moving,1,2.0,Car Rental
107,All Night 24 Hours Pizza,0,4.0,Restaurant
108,All Season's Table,0,4.0,Restaurant
109,All Seasons Table,815,4.0,Restaurant
110,All Souls Lounge,43,4.5,Restaurant
111,All Spice,4,4.5,Restaurant
112,All Star Pizza Bar,0,4.0,Restaurant
113,All Star Sandwich Bar,0,4.0,Restaurant
114,Alley Bar,0,4.0,Restaurant
115,Alma Cantina,63,4.0,Restaurant
116,Alma Gaucha,100,4.45,Restaurant
117,Als Cafe Seaport,0,4.0,Restaurant
118,Alta Strada,33,4.0,Restaurant
119,Aman Palace,0,4.0,Restaurant
120,Amanda's Cakes And Things,0,4.0,Restaurant
121,Amarin Of Thailand,0,4.0,Restaurant
122,Amazing Pizza,0,4.0,Restaurant
123,Amelia's Taqueria,0,4.0,Restaurant
124,Amelia's Taqueria - Be,0,4.0,Restaurant
125,Amelia's Trattoria,0,4.0,Restaurant
126,Amelias Taqueria,88,3.5,Restaurant
127,American Advantage Auto Rental,1,2.0,Car Rental
128,American Flatbread,83,4.0,Restaurant
129,American Flatbread - Salem,14,4.5,Restaurant
130,American Fresh Brewhouse Beer Garden,0,4.0,Restaurant
131,American Provisions,184,4.5,Restaurant
132,American Provisions Dorchester,19,4.0,Restaurant
133,Americar Auto Rental,1,2.0,Car Rental
134,Ames St Deli,0,4.0,Restaurant
135,Amigos Sub Shop,0,0.0,Restaurant
136,Amorino Gelato,0,4.0,Restaurant
137,Amrheins,491,3.5,Restaurant
138,Amrheins Restaurant,0,4.0,Restaurant
139,Amuse Restaurant,19,3.5,Restaurant
140,Anatolia,0,4.0,Restaurant
141,Anatolia Buffet And Kebab House,46,3.75,Restaurant
142,Anchovies,62,4.0,Restaurant
143,Andala Cafe House,0,4.0,Restaurant
144,Andalus Pizza And Cafe,0,4.0,Restaurant
145,Andrea's House Of Pizza,0,4.0,Restaurant
146,Andrea's Taqueria,33,4.5,Restaurant
147,Andrew Square House Of Pizza,73,3.5,Restaurant
148,Andy's Diner,0,4.0,Restaurant
149,Angela's Cafe,0,4.0,Restaurant
150,Angela's Cafe - Eagle Hill,505,4.0,Restaurant
151,Angela's Cafe - Orient Heights,136,4.5,Restaurant
152,Angela's Cafe Orient Heights,0,4.0,Restaurant
153,Angelo's Pizza,0,4.0,Restaurant
154,Angie's Restaurant,0,0.0,Restaurant
155,Anna's Cafe,48,4.0,Restaurant
156,Anna's Hand Cut Donuts,0,4.0,Restaurant
157,Anna's Taqueria,7,3.95,Restaurant
158,Annie's Pizzeria,0,4.0,Restaurant
159,Anoush Ella,0,4.0,Restaurant
160,Anoushella,267,4.43,Restaurant
161,Anshur Restaurant,0,4.0,Restaurant
162,Anthony's East Side Deli,61,4.43,Restaurant
163,Antico Forno,0,4.0,Restaurant
164,Antique Table,20,3.88,Restaurant
165,Antoine's Pastry Shop,0,4.0,Restaurant
166,Antojitos Latinos,1,4.0,Restaurant
167,Antonio's Bacari,136,4.5,Restaurant
168,Antonio's Bacaro,0,4.0,Restaurant
169,Antonio's Cucina Italiana,0,4.0,Restaurant
170,Antonio's Pizzeria,84,3.5,Restaurant
171,Applebee's,0,4.0,Restaurant
172,Applebee's Grill + Bar,202,2.5,Restaurant
173,Aquitaine,977,4.0,Restaurant
174,Aquitaine Dedham,0,4.0,Restaurant
