Name,Review Count,Ratings,Bike Station Id,Category
National Car Rental,84,3.5,1,Car Rental
Car Rental Center Boston,1,3.0,1,Car Rental
Avis Car Rental,240,1.5,1,Car Rental
Thrifty Car Rental,201,1.5,1,Car Rental
Advantage Car Rental,117,1.0,1,Car Rental
National Car Rental,84,3.5,2,Car Rental
Car Rental Center Boston,1,3.0,2,Car Rental
Avis Car Rental,240,1.5,2,Car Rental
Thrifty Car Rental,201,1.5,2,Car Rental
Advantage Car Rental,117,1.0,2,Car Rental
National Car Rental,1,4.0,3,Car Rental
National Car Rental,84,3.5,4,Car Rental
Car Rental Center Boston,1,3.0,4,Car Rental
Avis Car Rental,240,1.5,4,Car Rental
Thrifty Car Rental,201,1.5,4,Car Rental
Advantage Car Rental,117,1.0,4,Car Rental
Car Rental Cambridge,2,5.0,7,Car Rental
Car Rental Cambridge,2,5.0,9,Car Rental
Dollar Car Rental,21,2.5,10,Car Rental
Dollar Car Rental,21,2.5,12,Car Rental
National Car Rental,22,4.0,13,Car Rental
Select Car Rental,6,2.0,13,Car Rental
Budget Car Rental,28,2.0,13,Car Rental
Budget Car And Truck Rental,2,1.0,13,Car Rental
National Car Rental,22,4.0,14,Car Rental
Budget Car Rental,28,2.0,14,Car Rental
Select Car Rental,6,2.0,14,Car Rental
Thrifty Car Rental,2,2.5,14,Car Rental
Dollar Car Rental,36,2.0,14,Car Rental
U-Save Auto Rental,2,3.0,17,Car Rental
Car Rental Cambridge,2,5.0,18,Car Rental
National Car Rental,14,4.0,21,Car Rental
Thrifty Car Rental,2,2.5,21,Car Rental
Select Car Rental,6,2.0,21,Car Rental
Dollar Car Rental,21,2.5,21,Car Rental
U-Save Car And Truck Rental,57,1.5,23,Car Rental
Budget Car Rental,5,2.5,24,Car Rental
Avis Car Rental,21,2.0,24,Car Rental
U-Save Auto Rental,1,1.0,33,Car Rental
National Car Rental,14,4.0,34,Car Rental
Select Car Rental,6,2.0,34,Car Rental
Thrifty Car Rental,2,2.5,34,Car Rental
Budget Car Rental,1,1.0,34,Car Rental
Dollar Car Rental,36,2.0,34,Car Rental
National Car Rental,14,4.0,35,Car Rental
Select Car Rental,6,2.0,35,Car Rental
Thrifty Car Rental,2,2.5,35,Car Rental
Budget Car Rental,28,2.0,35,Car Rental
Dollar Car Rental,36,2.0,35,Car Rental
National Car Rental,14,4.0,36,Car Rental
Thrifty Car Rental,2,2.5,36,Car Rental
Budget Car Rental,1,1.0,36,Car Rental
Dollar Car Rental,36,2.0,36,Car Rental
National Car Rental,14,4.0,37,Car Rental
Select Car Rental,6,2.0,37,Car Rental
Budget Car Rental,1,1.0,37,Car Rental
Thrifty Car Rental,2,2.5,37,Car Rental
Dollar Car Rental,36,2.0,37,Car Rental
National Car Rental,14,4.0,39,Car Rental
Thrifty Car Rental,2,2.5,39,Car Rental
Dollar Car Rental,21,2.5,39,Car Rental
Hertz Car Rental,53,3.0,40,Car Rental
National Car Rental,14,4.0,42,Car Rental
Thrifty Car Rental,2,2.5,42,Car Rental
Dollar Car Rental,21,2.5,42,Car Rental
Budget Car Rental,1,1.0,42,Car Rental
National Car Rental,22,4.0,44,Car Rental
Budget Car Rental,28,2.0,44,Car Rental
Select Car Rental,6,2.0,44,Car Rental
Thrifty Car Rental,2,2.5,44,Car Rental
Dollar Car Rental,36,2.0,44,Car Rental
Hertz Car Rental,53,3.0,45,Car Rental
Budget Car Rental,22,1.5,46,Car Rental
Car Rental Cambridge,2,5.0,53,Car Rental
National Car Rental,22,4.0,55,Car Rental
Select Car Rental,6,2.0,55,Car Rental
Budget Car Rental,9,1.5,55,Car Rental
Budget Car And Truck Rental,2,1.0,55,Car Rental
Hertz Car Rental,53,3.0,56,Car Rental
Thrifty Car Rental,39,1.5,58,Car Rental
Hertz Car Rental,53,3.0,58,Car Rental
U-Save Auto Rental,1,1.0,59,Car Rental
Thrifty Car Rental,39,1.5,60,Car Rental
Hertz Car Rental,53,3.0,60,Car Rental
Car Rental Cambridge,2,5.0,62,Car Rental
National Car Rental,14,4.0,63,Car Rental
Select Car Rental,6,2.0,63,Car Rental
Thrifty Car Rental,2,2.5,63,Car Rental
Budget Car Rental,1,1.0,63,Car Rental
Dollar Car Rental,36,2.0,63,Car Rental
Car Rental Cambridge,2,5.0,64,Car Rental
Thrifty Car Rental,39,1.5,64,Car Rental
Budget Car Rental,22,1.5,66,Car Rental
National Car Rental,14,4.0,70,Car Rental
Thrifty Car Rental,2,2.5,70,Car Rental
Select Car Rental,6,2.0,70,Car Rental
Dollar Car Rental,36,2.0,70,Car Rental
Car Rental Cambridge,2,5.0,73,Car Rental
Thrifty Car Rental,39,1.5,75,Car Rental
Hertz Car Rental,53,3.0,75,Car Rental
Car Rental Cambridge,2,5.0,77,Car Rental
U-Save Auto Rental,1,1.0,78,Car Rental
U-Save Auto Rental,1,1.0,79,Car Rental
Thrifty Car Rental,39,1.5,81,Car Rental
Car Rental Cambridge,2,5.0,82,Car Rental
Budget Car Rental,22,1.5,82,Car Rental
Dollar Car Rental,21,2.5,83,Car Rental
Budget Car Rental,5,2.5,85,Car Rental
Avis Car Rental,21,2.0,85,Car Rental
Budget Car And Truck Rental,2,1.0,85,Car Rental
U-Save Auto Rental,1,1.0,91,Car Rental
