Name,Review Count,Ratings,Bike Station Id,Category
Luna's Restaurant Italian And Latin Cuisine,122,4.5,0,Restaurant
Angela's Cafe - Orient Heights,136,4.5,0,Restaurant
New Saigon,201,4.5,0,Restaurant
Melodias,12,4.0,0,Restaurant
Renegade's Pub,126,4.0,0,Restaurant
Donna's Restaurant,179,4.0,0,Restaurant
Royal Roast Beef And Seafood,139,4.0,0,Restaurant
Little Asia Restaurant,95,4.0,0,Restaurant
Sunny Cafe,103,4.5,0,Restaurant
Milano's Delicatessen,99,4.0,0,Restaurant
El Kiosco Restaurant,24,4.0,0,Restaurant
Brinkleys Restaurant And Pub,37,3.0,0,Restaurant
Mi Pueblito Orient Heights,40,3.5,0,Restaurant
Napoles Restaurant,23,3.0,0,Restaurant
La Fonda Colombiana,2,4.0,0,Restaurant
Woody's Pizza And Liquors,51,2.5,0,Restaurant
Sammy Carlo's Delicatessen And Catering,59,4.5,0,Restaurant
Burger King,31,1.5,0,Restaurant
Tequilas Mexican Bar And Grill,5,2.0,0,Restaurant
Subway,9,3.0,0,Restaurant
Next Door Speakeasy And Raw Bar,56,4.0,1,Restaurant
The Quiet Few,79,4.5,1,Restaurant
Reel House Boston,467,3.5,1,Restaurant
Cunard Tavern,195,3.5,1,Restaurant
Mexicali Sushi Bar,18,4.0,1,Restaurant
La Hacienda Restaurant And Bar,223,4.0,1,Restaurant
Dparma Restaurant,151,4.0,1,Restaurant
Cafe Iterum,26,4.0,1,Restaurant
Carmella's Market,46,4.5,1,Restaurant
Santa Fe Burrito Grill - East Boston,19,4.5,1,Restaurant
Santarpio's Pizza,1472,4.0,1,Restaurant
Eagle Hill Cafe,32,4.5,1,Restaurant
Hong Kong Harbor Restaurant,69,3.5,1,Restaurant
Toasted Flats,102,4.5,1,Restaurant
Sea Biscuit,22,4.5,1,Restaurant
Pazza On Porter,172,4.0,1,Restaurant
Boston Sail Loft,1186,4.5,1,Restaurant
Cactus Mexican Grill,109,4.0,1,Restaurant
El Peol,154,4.5,1,Restaurant
Dirty Water Dough,74,4.0,1,Restaurant
Next Door Speakeasy And Raw Bar,56,4.0,2,Restaurant
The Quiet Few,79,4.5,2,Restaurant
Reel House Boston,467,3.5,2,Restaurant
La Hacienda Restaurant And Bar,223,4.0,2,Restaurant
Mexicali Sushi Bar,18,4.0,2,Restaurant
Cunard Tavern,195,3.5,2,Restaurant
Dparma Restaurant,151,4.0,2,Restaurant
Eagle Hill Cafe,32,4.5,2,Restaurant
Carmella's Market,46,4.5,2,Restaurant
Santarpio's Pizza,1472,4.0,2,Restaurant
Toasted Flats,102,4.5,2,Restaurant
Cafe Iterum,26,4.0,2,Restaurant
Hong Kong Harbor Restaurant,69,3.5,2,Restaurant
Santa Fe Burrito Grill - East Boston,19,4.5,2,Restaurant
Pazza On Porter,172,4.0,2,Restaurant
Boston Sail Loft,1186,4.5,2,Restaurant
Sea Biscuit,22,4.5,2,Restaurant
Cactus Mexican Grill,109,4.0,2,Restaurant
El Peol,154,4.5,2,Restaurant
Dirty Water Dough,74,4.0,2,Restaurant
Luna's Restaurant Italian And Latin Cuisine,122,4.5,3,Restaurant
Brinkleys Restaurant And Pub,37,3.0,3,Restaurant
New Saigon,201,4.5,3,Restaurant
Royal Roast Beef And Seafood,139,4.0,3,Restaurant
Rincon Limeo Restaurant,332,4.5,3,Restaurant
Sammy Carlo's Delicatessen And Catering,59,4.5,3,Restaurant
Renegade's Pub,126,4.0,3,Restaurant
Taqueria Jalisco,460,4.5,3,Restaurant
Angela's Cafe - Orient Heights,136,4.5,3,Restaurant
Donna's Restaurant,179,4.0,3,Restaurant
Little Asia Restaurant,95,4.0,3,Restaurant
Sunny Cafe,103,4.5,3,Restaurant
Pikalo Empanada,20,4.5,3,Restaurant
Perros Paisas,10,4.5,3,Restaurant
El Kiosco Restaurant,24,4.0,3,Restaurant
Melodias,12,4.0,3,Restaurant
Milano's Delicatessen,99,4.0,3,Restaurant
Chinese Dragon,124,3.0,3,Restaurant
Tu Metapan Restaurant,37,4.0,3,Restaurant
Mi Pueblito Orient Heights,40,3.5,3,Restaurant
Next Door Speakeasy And Raw Bar,56,4.0,4,Restaurant
La Hacienda Restaurant And Bar,223,4.0,4,Restaurant
Reel House Boston,467,3.5,4,Restaurant
El Peol,154,4.5,4,Restaurant
Eagle Hill Cafe,32,4.5,4,Restaurant
Santarpio's Pizza,1472,4.0,4,Restaurant
Pazza On Porter,172,4.0,4,Restaurant
Dparma Restaurant,151,4.0,4,Restaurant
Toasted Flats,102,4.5,4,Restaurant
Cunard Tavern,195,3.5,4,Restaurant
Kelley Square Pub,202,4.0,4,Restaurant
Saigon Hut,192,4.0,4,Restaurant
The Quiet Few,79,4.5,4,Restaurant
Tori Japan,4,4.5,4,Restaurant
Meridian Food Market,130,4.5,4,Restaurant
Cafe Iterum,26,4.0,4,Restaurant
Mexicali Sushi Bar,18,4.0,4,Restaurant
Dirty Water Dough,74,4.0,4,Restaurant
La Casa Del Pandebono,47,5.0,4,Restaurant
Pier 6 Boston Waterfront,485,3.5,4,Restaurant
Tonino,24,4.5,5,Restaurant
Vee Vee,307,4.0,5,Restaurant
The Haven,594,4.5,5,Restaurant
Evergreen Eatery,165,4.5,5,Restaurant
The Joint,82,4.0,5,Restaurant
Ten Tables,693,4.0,5,Restaurant
Flavor Boom - Boston,22,4.0,5,Restaurant
Galway House,263,4.0,5,Restaurant
Tres Gatos,569,4.0,5,Restaurant
Sweet Rice Jp,136,4.0,5,Restaurant
Jp Seafood Cafe,365,4.0,5,Restaurant
Soup Shack - Jamaica Plain,302,4.5,5,Restaurant
Third Cliff Bakery,57,5.0,5,Restaurant
Chilacates Mexican Street Food,576,4.5,5,Restaurant
Noodle Barn,227,3.5,5,Restaurant
Casa Verde,243,3.5,5,Restaurant
El Embajador,40,4.0,5,Restaurant
Jpizle Kitchen,88,4.0,5,Restaurant
Ula Cafe,504,4.0,5,Restaurant
Jamaica Mi Hungry,88,4.0,6,Restaurant
Blue Nile Restaurant,350,4.0,6,Restaurant
Pikalo,171,4.5,6,Restaurant
Chilacates Mexican Street Food,576,4.5,6,Restaurant
The Haven,594,4.5,6,Restaurant
El Oriental De Cuba,527,4.0,6,Restaurant
Tori Japan,17,3.5,6,Restaurant
Tostado Sandwich Bar,24,3.5,6,Restaurant
Ethiopian Cafe,65,4.5,6,Restaurant
Alex's Chimis,159,4.0,6,Restaurant
Gondres Bakery,42,4.5,6,Restaurant
Tres Gatos,569,4.0,6,Restaurant
Young Kong Restaurant,44,3.0,6,Restaurant
Latino Restaurant,40,3.5,6,Restaurant
Yely's Cafe Shop,48,3.5,6,Restaurant
Tavern Of Tales,30,4.5,6,Restaurant
Mike And Pattys,16,4.0,6,Restaurant
Ashur Restaurant,61,4.0,6,Restaurant
Fort Hill Bar And Grill,27,3.0,6,Restaurant
Cappy's Pizza And Subs,50,3.0,6,Restaurant
The Nu Do' Society,73,4.5,7,Restaurant
Alive And Kicking Lobsters,948,4.5,7,Restaurant
Paperback Tavern,4,4.5,7,Restaurant
Little Donkey,934,4.0,7,Restaurant
Basta Pasta Trattoria,494,4.0,7,Restaurant
Happy Lamb Hot Pot,441,4.0,7,Restaurant
Brookline Lunch,581,4.0,7,Restaurant
Pai Kin Kao,81,4.0,7,Restaurant
Pammy's,384,4.5,7,Restaurant
Viale,311,4.0,7,Restaurant
Clover Food Lab,203,4.0,7,Restaurant
Surya Indian Kitchen,174,4.0,7,Restaurant
The Coast Cafe,399,4.0,7,Restaurant
Flour Bakery + Cafe,65,4.0,7,Restaurant
Riverside Pizza And Seafoods,88,4.0,7,Restaurant
Dimi's Place,104,4.0,7,Restaurant
Si Cara,54,4.0,7,Restaurant
5 Spices House Cambridge,107,4.0,7,Restaurant
Oleana Restaurant,1738,4.5,7,Restaurant
Rangzen Tibetan Place,424,4.0,7,Restaurant
The Pearl,116,3.5,8,Restaurant
110 Grill,104,3.5,8,Restaurant
Casa Bonita Mexican Grill,3,3.5,8,Restaurant
GYU-KAKU JAPANESE BBQ,239,4.0,8,Restaurant
Liberty Diner,25,4.5,8,Restaurant
Totto Ramen,76,4.0,8,Restaurant
Top Mix Bar And Kitchen,156,4.0,8,Restaurant
224 Boston Street Restaurant,311,4.0,8,Restaurant
Victoria's Diner,479,3.5,8,Restaurant
Madhouse Cafe,6,5.0,8,Restaurant
Cafe Polonia,520,4.5,8,Restaurant
Cram Seafood Company,18,4.0,8,Restaurant
Wahlburgers,211,3.5,8,Restaurant
M AND M BBQ,68,4.0,8,Restaurant
Applebee's Grill + Bar,202,2.5,8,Restaurant
Olive Garden Italian Restaurant,340,2.0,8,Restaurant
Nos Casa Cafe,21,4.0,8,Restaurant
Steve Connolly Seafood Co,1,5.0,8,Restaurant
Side Chick,31,4.0,8,Restaurant
Dj's Market,66,4.5,8,Restaurant
Oleana Restaurant,1738,4.5,9,Restaurant
Bm Dough,52,4.5,9,Restaurant
Judy's Bay,86,4.5,9,Restaurant
Moona,210,4.0,9,Restaurant
New Republik,7,4.5,9,Restaurant
Puritan And Company,535,4.0,9,Restaurant
Mae Asian Eatery,255,4.5,9,Restaurant
Vincent's,33,4.5,9,Restaurant
Muqueca Restaurant,679,4.0,9,Restaurant
Little Donkey,934,4.0,9,Restaurant
Kantipur Cafe,136,4.5,9,Restaurant
State Park,309,4.0,9,Restaurant
ORALE MEXICAN GRILL,95,4.5,9,Restaurant
Mu Lan,385,4.0,9,Restaurant
Hot Chix Boston,36,4.5,9,Restaurant
Field And Vine,130,4.5,9,Restaurant
Koreana,847,3.5,9,Restaurant
Area Four,1041,4.0,9,Restaurant
Cicada Cafe Bar,139,4.5,9,Restaurant
Faialense Sport Club,20,5.0,9,Restaurant
The Salty Pig,1833,4.0,10,Restaurant
Toro,2453,4.0,10,Restaurant
The Elephant Walk,270,4.5,10,Restaurant
SRV BOSTON,535,4.5,10,Restaurant
Gigi,30,4.5,10,Restaurant
Anoushella,309,4.5,10,Restaurant
MIDA - BOSTON,499,4.5,10,Restaurant
Ilona,223,4.0,10,Restaurant
Orinoco,626,4.0,10,Restaurant
Black Lamb,232,4.0,10,Restaurant
KAVA NEOTAVERNA,446,4.5,10,Restaurant
Five Horses Tavern,519,4.0,10,Restaurant
Citrus And Salt,845,4.0,10,Restaurant
Coppa Enoteca,1001,4.0,10,Restaurant
Barcelona Wine Bar South End,1368,4.5,10,Restaurant
Krasi,336,4.5,10,Restaurant
Anchovies,434,4.0,10,Restaurant
The Friendly Toast,2624,4.5,10,Restaurant
Yunnan Kitchen,46,4.0,10,Restaurant
Mana Escondido Cafe,100,4.5,10,Restaurant
Milkweed,984,4.0,11,Restaurant
Tavern Of Tales,30,4.5,11,Restaurant
Chilacates Mexican Street Food,59,4.5,11,Restaurant
Ashur Restaurant,61,4.0,11,Restaurant
Lilly's Gourmet Pasta Express,190,4.0,11,Restaurant
Nachlo,67,4.0,11,Restaurant
The Squealing Pig,433,3.5,11,Restaurant
Cafe G,119,4.0,11,Restaurant
Noodles King,62,4.5,11,Restaurant
Laughing Monk Cafe,333,4.5,11,Restaurant
Yellow Door Taqueria,11,4.5,11,Restaurant
Domino's Pizza,154,1.5,11,Restaurant
Soleil,54,4.0,11,Restaurant
Jamaica Mi Hungry,88,4.0,11,Restaurant
Butterfly Falafel,49,3.5,11,Restaurant
465 Bar And Restaurant,10,4.0,11,Restaurant
Citra Fresh Cafe,6,4.5,11,Restaurant
Tatte Bakery And Cafe,84,4.0,11,Restaurant
Fasika Cafe,40,4.5,11,Restaurant
Ginger Exchange,37,4.0,11,Restaurant
Krasi,336,4.5,12,Restaurant
Saltie Girl,1856,4.0,12,Restaurant
The Salty Pig,1833,4.0,12,Restaurant
Buttermilk And Bourbon,973,4.0,12,Restaurant
Cafe Landwer,114,4.0,12,Restaurant
Little Whale,37,4.5,12,Restaurant
Piattini,1016,4.0,12,Restaurant
Atlantic Fish,3003,4.0,12,Restaurant
Citrus And Salt,845,4.0,12,Restaurant
Earls Kitchen + Bar,1336,4.0,12,Restaurant
Luke's Lobster Back Bay,2006,4.0,12,Restaurant
Gigi,30,4.5,12,Restaurant
The Friendly Toast,2624,4.5,12,Restaurant
PURO CEVICHE BAR,294,4.5,12,Restaurant
Abe And Louie's,1625,4.0,12,Restaurant
Zuma,273,4.0,12,Restaurant
SRV BOSTON,535,4.5,12,Restaurant
The Banks Fish House,198,4.5,12,Restaurant
GRECO,571,4.5,12,Restaurant
Pressed Cafe,154,4.5,12,Restaurant
Lolita Cocina And Tequila Bar,2288,4.0,13,Restaurant
Bostonia Public House,1857,4.0,13,Restaurant
Yvonne's,1292,4.0,13,Restaurant
City Tap House,628,4.0,13,Restaurant
Row 34,1705,4.0,13,Restaurant
Mecha Noodle Bar,77,4.0,13,Restaurant
State Street Provisions,685,4.0,13,Restaurant
Mooo Seaport,47,4.5,13,Restaurant
Stillwater,205,4.0,13,Restaurant
Committee,820,4.0,13,Restaurant
Tora Japanese Restaurant,677,4.5,13,Restaurant
Shj-Boston,975,4.0,13,Restaurant
O Ya,794,4.5,13,Restaurant
Para Maria,29,4.0,13,Restaurant
Lotus Test Kitchen,34,4.5,13,Restaurant
High Street Place,50,4.0,13,Restaurant
Fin Point Oyster Bar And Grill,462,4.5,13,Restaurant
THE SMOKE SHOP BBQ - SEAPORT,375,4.0,13,Restaurant
James Hook And Company,1509,4.0,13,Restaurant
Clay Pot Cafe,459,4.0,13,Restaurant
Bostonia Public House,1857,4.0,14,Restaurant
Carmelina's,3169,4.5,14,Restaurant
State Street Provisions,685,4.0,14,Restaurant
Yvonne's,1292,4.0,14,Restaurant
Boston Sail Loft,1186,4.5,14,Restaurant
Neptune Oyster,5981,4.5,14,Restaurant
Alma Cantina,63,4.0,14,Restaurant
Fin Point Oyster Bar And Grill,462,4.5,14,Restaurant
Isabella's,227,4.5,14,Restaurant
Mariel,474,4.0,14,Restaurant
Koy,663,4.0,14,Restaurant
Saus,1318,4.0,14,Restaurant
Pauli's,1425,4.5,14,Restaurant
Servia,90,4.0,14,Restaurant
Silvertone Bar And Grill,896,4.0,14,Restaurant
The Dubliner,39,4.0,14,Restaurant
Trattoria Il Panino,1169,4.0,14,Restaurant
Boston Chowda,1197,4.0,14,Restaurant
Kala Thai Cookery,250,4.5,14,Restaurant
The Daily Catch,1837,4.0,14,Restaurant
Milkweed,984,4.0,15,Restaurant
Cafe G,119,4.0,15,Restaurant
SOJUBA,490,4.0,15,Restaurant
465 Bar And Restaurant,10,4.0,15,Restaurant
Noodles King,62,4.5,15,Restaurant
Wow Tikka,26,5.0,15,Restaurant
Eventide - Fenway,414,4.0,15,Restaurant
The Squealing Pig,433,3.5,15,Restaurant
Thaitation,363,4.0,15,Restaurant
Phinista,193,4.5,15,Restaurant
Tavern Of Tales,30,4.5,15,Restaurant
Tatte Bakery And Cafe,84,4.0,15,Restaurant
Sufra Mediterranean Food,62,4.0,15,Restaurant
Laughing Monk Cafe,333,4.5,15,Restaurant
El Peln Taquera,1180,4.0,15,Restaurant
Citra Fresh Cafe,6,4.5,15,Restaurant
Chilacates Mexican Street Food,59,4.5,15,Restaurant
Lilly's Gourmet Pasta Express,190,4.0,15,Restaurant
Yellow Door Taqueria,11,4.5,15,Restaurant
Citizen Public House And Oyster Bar,717,3.5,15,Restaurant
Lincoln Tavern And Restaurant,1050,4.0,16,Restaurant
Moonshine 152,543,4.5,16,Restaurant
Publico Street Bistro And Garden,287,4.5,16,Restaurant
Fox And The Knife,333,4.5,16,Restaurant
Loco Taqueria And Oyster Bar,727,4.0,16,Restaurant
Bar Volpe,76,4.0,16,Restaurant
Lenox Sophia,23,4.5,16,Restaurant
Shy Bird,23,4.0,16,Restaurant
Alma Gaucha,111,4.5,16,Restaurant
Worden Hall,381,4.0,16,Restaurant
Hunters Kitchen And Bar,76,4.0,16,Restaurant
Mei Mei Dumplings,11,5.0,16,Restaurant
Pizzeria 260,84,4.0,16,Restaurant
Fat Baby,205,3.5,16,Restaurant
Shenannigans Bar,196,3.5,16,Restaurant
Purple Shell,207,4.0,16,Restaurant
Rondo's Sub Shop,134,4.5,16,Restaurant
Fromage Wine Bar And Restaurant,114,4.0,16,Restaurant
Broadway's Pastry And Cafe Shop,76,4.5,16,Restaurant
Lulu Green,87,4.5,16,Restaurant
Cafe Landwer,281,4.0,17,Restaurant
Brighton Bodega,243,4.5,17,Restaurant
Sushi Momento,141,4.5,17,Restaurant
Little Pecan Bistro,99,4.5,17,Restaurant
My Happy Hunan Kitchen ,63,4.0,17,Restaurant
Pho 1 Brighton,91,4.0,17,Restaurant
Tasca Restaurant,1071,4.0,17,Restaurant
Gyro City,169,4.5,17,Restaurant
City Side Tavern,421,3.0,17,Restaurant
Esperia Grill,502,4.5,17,Restaurant
Peka Restaurant,58,4.5,17,Restaurant
