ID,Station Name,Latitude,Longitude,Number of Bikes
0,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,19
1,Maverick Square - Lewis Mall,42.36884408289836,-71.03977829217911,33
2,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,16
3,Bennington St at Byron St,42.383532520117896,-71.01619094610214,15
4,Boston East - 126 Border St,42.373312125824704,-71.0410200806291,15
5,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,23
6,Jackson Square T Stop,42.32293117195949,-71.10014140605927,18
7,Dana Park,42.36178043960605,-71.10809952020645,19
8,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,15
9,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,19
10,South End Library - Tremont St at W Newton St,42.341332,-71.076847,15
11,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,23
12,Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,18
13,South Station - 700 Atlantic Ave,42.352175,-71.055547,46
14,Boston City Hall - 28 State St,42.35892,-71.057629,24
15,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,13
16,W Broadway at D St,42.3391085,-71.0514432,23
17,Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,19
18,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,19
19,Cleveland Circle,42.335543083570826,-71.15061519672052,15
20,Blue Hill Ave at Almont St,42.27462067181224,-71.09372552493369,19
21,Tremont St at E Berkeley St,42.345392,-71.069616,19
22,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,14
23,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,19
24,The Lawn on D,42.344792,-71.044024,18
25,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,15
26,Washington St at Talbot Ave,42.290333,-71.071806,17
27,South Boston Library - 646 E Broadway,42.335741,-71.03877,15
28,75 Binney St,42.36550728505653,-71.0801375997653,19
29,Huntington Ave at Mass Art,42.336585554561154,-71.0988699646623,15
30,Curtis Hall - South St at Centre St,42.309054,-71.11543,15
31,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,15
32,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,15
33,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,19
34,Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,19
35,Chinatown Gate Plaza,42.351356,-71.059367,19
36,Mugar Way at Beacon St,42.35553628489709,-71.07286870479584,19
37,Tremont St at West St,42.354979,-71.063348,15
38,Washington St at Lenox St,42.3350989929096,-71.07903778553009,15
39,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,15
40,191 Beacon St,42.38032335045416,-71.10878612855231,19
