Station Name,Latitude,Longitude,Number of Bikes,Station ID
Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,19,553ed0300d38108b4f21a6bafa3db70c
Maverick Square - Lewis Mall,42.368844082898356,-71.03977829217911,33,93542dcbf21f5411569adb92cd7cc199
East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,16,d9c7ef5dbda4ed944d1bf51fe540acb6
Bennington St at Byron St,42.383532520117896,-71.01619094610214,15,0568389e659e679fbe29a5ac12cd49c0
Boston East - 126 Border St,42.373312125824704,-71.0410200806291,15,47b79abc28a54d0e4689b1096ceb8466
Green Street T Stop - Green St at Amory St,42.310579,-71.107341,23,68fc84a359655b54175ddc443e79003b
Jackson Square T Stop,42.32293117195949,-71.10014140605927,18,24e99d91d84351d3e224e3d7ef2c7799
Dana Park,42.361780439606044,-71.10809952020645,19,3831590999fc4a7f52d08952a6bd045d
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,15,af050e8bab271eeebf49b5407a09d415
Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,19,1b7f50a75403e1f818b0b1dd81c09e9f
South End Library - Tremont St at W Newton St,42.341332,-71.076847,15,a45aabe9b54b087818818dc78372bc43
Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,23,045fd5ea449046d51d40934e65b46bb5
Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,18,8352a85030ab275739832c0680e2c5c3
South Station - 700 Atlantic Ave,42.352175,-71.055547,46,68dd25824f76cc3063f5120e674bfed9
Boston City Hall - 28 State St,42.35892,-71.057629,24,fe8d0aa13fd9937b7d09e4e26d5f0a8d
Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,13,3dc7433790fc03a6749498c3208a4e96
W Broadway at D St,42.3391085,-71.0514432,23,be6410ffefa71e9a6282fa1fdef1bf72
Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,19,53b2eab86dedf34fc5076b83c40babca
Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,19,28ad0b0c32fada5379e37894bc8270e1
Cleveland Circle,42.335543083570826,-71.15061519672052,15,3c7100a8b2604b5a2b3f97410d1c1c5e
Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369,19,226a8b1a11e307e5ccd9f4eed3798783
Tremont St at E Berkeley St,42.345392,-71.069616,19,923c9498bf653bce81b9f5bf06f9c499
Boylston St at Jersey St,42.344650628878306,-71.09732501226972,14,7115914b22cf3889b39e0dc9621427dc
Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,19,1c69a2302d6c2221cd6057a3f97fc548
The Lawn on D,42.344792,-71.044024,18,f0683fe3086af95afeae07cc0357fd52
Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,15,27bc407874cd3b5d121b1b20f2df0051
Washington St at Talbot Ave,42.290333,-71.071806,17,b4041d018c21afc75adbc34efc6f2a2a
South Boston Library - 646 E Broadway,42.335741,-71.03877,15,8414286d3232109891e1a2dfe396a59e
75 Binney St,42.36550728505653,-71.0801375997653,19,23249e795e83303adf47122b47d8b862
Huntington Ave at Mass Art,42.336585554561154,-71.0988699646623,15,336a4a6f3be821f7e5a679aa4d3ae5cc
Curtis Hall - South St at Centre St,42.309054,-71.11543,15,de412fd4ed57348bf9ec6bd7339b04f6
Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,15,f98ba2c9b1fb1563296760c08521dfcb
Egleston Square - Atherton St at Washington St,42.315692,-71.098634,15,f5577b56bb543db5cb15ae25621fe732
Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,19,6cf4bfc8093794c40451d865b74e695e
Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,19,97e53011eccfddda7151347c1d702a99
Chinatown Gate Plaza,42.351356,-71.059367,19,2e4406867a3574184b0d6be7ede11d38
Mugar Way at Beacon St,42.355536284897084,-71.07286870479584,19,15656b7dfce074becc9fe4f45a2a18db
Tremont St at West St,42.354979,-71.063348,15,0670eb9d5937bfea133bd73ff534c764
Washington St at Lenox St,42.3350989929096,-71.07903778553009,15,9f87f7c7336c31701521ddc50d39be0a
Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,15,6ebcb005743f9a537feaa9b4e569e8a3
191 Beacon St,42.38032335045416,-71.10878612855231,19,b13ff60a280fd937eb5e724a433cda9c
Farragut Rd at E. 6th St,42.3334,-71.02495,23,14d397c0588d376d9be5da29016e63d9
Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,17,732b2c4db39060e57c324556b6661ffd
Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046,15,cf762de9024f8015246e7b81550d757b
Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,19,ef314e9d54eaa29a3abdd17b2915765d
Perry Park,42.37927324600841,-71.10341902831351,19,defc876c78bb8fcc22934d1a49e6992a
Honan Library,42.36027370454934,-71.12852452327388,15,42d9b34dcbd877dfa9d702d0e0adedba
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,15,e1eb05d342c7993b9628a687211b04ea
