Station Name,Latitude,Longitude,Number of Bikes,Station ID,Number of Restaurants,Number of Rentals,Average Restaurant Rating,Average Rental Rating
Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,19,553ed0300d38108b4f21a6bafa3db70c,39,5,4.090909090909091,2.0
Maverick Square - Lewis Mall,42.36884408289836,-71.03977829217911,33,93542dcbf21f5411569adb92cd7cc199,60,16,4.035714285714286,2.03125
East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,16,d9c7ef5dbda4ed944d1bf51fe540acb6,60,16,4.035714285714286,2.03125
Bennington St at Byron St,42.383532520117896,-71.01619094610214,15,0568389e659e679fbe29a5ac12cd49c0,52,7,4.1923076923076925,2.2857142857142856
Boston East - 126 Border St,42.373312125824704,-71.0410200806291,15,47b79abc28a54d0e4689b1096ceb8466,60,9,4.033333333333333,2.0555555555555554
Green Street T Stop - Green St at Amory St,42.310579,-71.107341,23,68fc84a359655b54175ddc443e79003b,57,2,4.125,2.0
Jackson Square T Stop,42.32293117195949,-71.10014140605927,18,24e99d91d84351d3e224e3d7ef2c7799,47,5,4.2,2.0
Dana Park,42.36178043960605,-71.10809952020645,19,3831590999fc4a7f52d08952a6bd045d,62,11,4.105263157894737,2.272727272727273
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,15,af050e8bab271eeebf49b5407a09d415,55,8,3.6538461538461537,2.0
Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,19,1b7f50a75403e1f818b0b1dd81c09e9f,57,12,4.21875,2.25
South End Library - Tremont St at W Newton St,42.341332,-71.076847,15,a45aabe9b54b087818818dc78372bc43,62,18,4.25,2.0277777777777777
Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,23,045fd5ea449046d51d40934e65b46bb5,56,5,3.8846153846153846,2.0
Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,18,8352a85030ab275739832c0680e2c5c3,62,18,4.194444444444445,2.0277777777777777
South Station - 700 Atlantic Ave,42.352175,-71.055547,46,68dd25824f76cc3063f5120e674bfed9,64,17,4.09375,2.0588235294117645
Boston City Hall - 28 State St,42.35892,-71.057629,24,fe8d0aa13fd9937b7d09e4e26d5f0a8d,65,21,4.184210526315789,2.119047619047619
Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,13,3dc7433790fc03a6749498c3208a4e96,65,6,4.066666666666666,2.0
W Broadway at D St,42.3391085,-71.0514432,23,be6410ffefa71e9a6282fa1fdef1bf72,51,6,4.147058823529412,2.0
Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,19,53b2eab86dedf34fc5076b83c40babca,52,9,4.0,2.111111111111111
Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,19,28ad0b0c32fada5379e37894bc8270e1,58,11,4.088235294117647,2.272727272727273
Cleveland Circle,42.335543083570826,-71.15061519672052,15,3c7100a8b2604b5a2b3f97410d1c1c5e,38,5,3.9411764705882355,2.0
Blue Hill Ave at Almont St,42.27462067181224,-71.09372552493369,19,226a8b1a11e307e5ccd9f4eed3798783,35,2,3.375,2.0
Tremont St at E Berkeley St,42.345392,-71.069616,19,923c9498bf653bce81b9f5bf06f9c499,62,17,4.184210526315789,2.176470588235294
Boylston St at Jersey St,42.34465062887831,-71.09732501226972,14,7115914b22cf3889b39e0dc9621427dc,62,7,3.9705882352941178,2.0
Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,19,1c69a2302d6c2221cd6057a3f97fc548,62,15,4.176470588235294,1.9666666666666666
The Lawn on D,42.344792,-71.044024,18,f0683fe3086af95afeae07cc0357fd52,58,7,4.09375,2.0714285714285716
Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,15,27bc407874cd3b5d121b1b20f2df0051,28,1,3.0,2.0
Washington St at Talbot Ave,42.290333,-71.071806,17,b4041d018c21afc75adbc34efc6f2a2a,46,3,3.8,2.0
South Boston Library - 646 E Broadway,42.335741,-71.03877,15,8414286d3232109891e1a2dfe396a59e,56,3,3.96875,2.0
75 Binney St,42.36550728505653,-71.0801375997653,19,23249e795e83303adf47122b47d8b862,59,9,3.9642857142857144,2.0
Huntington Ave at Mass Art,42.336585554561154,-71.0988699646623,15,336a4a6f3be821f7e5a679aa4d3ae5cc,64,5,4.066666666666666,2.0
Curtis Hall - South St at Centre St,42.309054,-71.11543,15,de412fd4ed57348bf9ec6bd7339b04f6,59,2,4.083333333333333,2.0
Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,15,f98ba2c9b1fb1563296760c08521dfcb,49,4,4.0,2.0
Egleston Square - Atherton St at Washington St,42.315692,-71.098634,15,f5577b56bb543db5cb15ae25621fe732,51,4,4.181818181818182,2.0
Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,19,6cf4bfc8093794c40451d865b74e695e,64,7,4.157894736842105,1.8571428571428572
Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,19,97e53011eccfddda7151347c1d702a99,64,16,4.055555555555555,2.09375
Chinatown Gate Plaza,42.351356,-71.059367,19,2e4406867a3574184b0d6be7ede11d38,67,18,4.0588235294117645,2.138888888888889
Mugar Way at Beacon St,42.35553628489709,-71.07286870479584,19,15656b7dfce074becc9fe4f45a2a18db,56,15,4.078947368421052,2.1
Tremont St at West St,42.354979,-71.063348,15,0670eb9d5937bfea133bd73ff534c764,64,22,4.088235294117647,2.0681818181818183
Washington St at Lenox St,42.3350989929096,-71.07903778553009,15,9f87f7c7336c31701521ddc50d39be0a,63,7,4.125,2.0
Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,15,6ebcb005743f9a537feaa9b4e569e8a3,64,19,4.2368421052631575,2.1578947368421053
191 Beacon St,42.38032335045416,-71.10878612855231,19,b13ff60a280fd937eb5e724a433cda9c,63,7,4.25,2.142857142857143
Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,17,732b2c4db39060e57c324556b6661ffd,60,18,4.131578947368421,2.111111111111111
Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,19,ef314e9d54eaa29a3abdd17b2915765d,67,23,4.147058823529412,2.108695652173913
Perry Park,42.37927324600841,-71.10341902831351,19,defc876c78bb8fcc22934d1a49e6992a,60,7,4.323529411764706,2.142857142857143
Honan Library,42.36027370454934,-71.12852452327388,15,42d9b34dcbd877dfa9d702d0e0adedba,60,12,4.21875,1.9583333333333333
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,15,e1eb05d342c7993b9628a687211b04ea,37,4,3.9,2.0
84 Cambridgepark Dr,42.3936,-71.143941,27,53955e5aa599eabd42cfd5b338a1c85d,32,4,3.3333333333333335,2.0
Ames St at Broadway,42.3636929,-71.0875672,18,4cb75fa70b40661ab02c9c9f8fae60bc,58,8,4.0588235294117645,2.0
MIT Vassar St,42.35560121327927,-71.10394477844238,53,943a5046e94d9462496182d9e38da371,58,6,4.125,2.0
Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,19,7834292992b37578067b345232346bad,55,3,4.03125,2.0
MLK Blvd at Washington St,42.32143814183195,-71.09126061201096,15,3ef6b015b6284b4731db6b9e02a3d1cb,36,6,4.0,2.0
MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,19,0e29fe31b281f3b6ca6f7c06c8eb7aa4,59,7,4.0,2.4285714285714284
