Name,Review Count,Ratings,Bike Station Id,Category
National Car Rental,84,3.5,1,['carrental']
Rental Car Center Boston,1,3.0,1,['carrental']
Avis Car Rental,240,1.5,1,['carrental']
Thrifty Car Rental,201,1.5,1,['carrental']
Advantage Rental Cars,117,1.0,1,['carrental']
National Car Rental,84,3.5,2,['carrental']
Rental Car Center Boston,1,3.0,2,['carrental']
Avis Car Rental,240,1.5,2,['carrental']
Thrifty Car Rental,201,1.5,2,['carrental']
Advantage Rental Cars,117,1.0,2,['carrental']
National Car Rental,1,4.0,3,['carrental']
National Car Rental,84,3.5,4,['carrental']
Rental Car Center Boston,1,3.0,4,['carrental']
Avis Car Rental,240,1.5,4,['carrental']
Thrifty Car Rental,201,1.5,4,['carrental']
Advantage Rental Cars,117,1.0,4,['carrental']
Car Rental Cambridge,2,5.0,7,['carrental']
Car Rental Cambridge,2,5.0,9,['carrental']
Dollar Car Rental,21,2.5,10,['carrental']
Dollar Car Rental,21,2.5,12,['carrental']
National Car Rental,22,4.0,13,['carrental']
Select Car Rental,6,2.0,13,"['autorepair', 'carrental', 'carwash']"
Budget Car Rental,28,2.0,13,['carrental']
Budget Car and Truck Rental,2,1.0,13,['carrental']
National Car Rental,22,4.0,14,['carrental']
Budget Car Rental,28,2.0,14,['carrental']
Select Car Rental,6,2.0,14,"['autorepair', 'carrental', 'carwash']"
Thrifty Car Rental,2,2.5,14,['carrental']
Dollar Car Rental,36,2.0,14,['carrental']
U-Save Auto & Truck Rental,2,3.0,17,['carrental']
Car Rental Cambridge,2,5.0,18,['carrental']
National Car Rental,14,4.0,21,['carrental']
Thrifty Car Rental,2,2.5,21,['carrental']
Select Car Rental,6,2.0,21,"['autorepair', 'carrental', 'carwash']"
Dollar Car Rental,21,2.5,21,['carrental']
U-Save Car & Truck Rental,57,1.5,23,"['carrental', 'truck_rental']"
Budget Car Rental,5,2.5,24,['carrental']
Avis Car Rental,21,2.0,24,['carrental']
U-Save Auto Van & Truck Rental,1,1.0,33,['carrental']
National Car Rental,14,4.0,34,['carrental']
Select Car Rental,6,2.0,34,"['autorepair', 'carrental', 'carwash']"
Thrifty Car Rental,2,2.5,34,['carrental']
Budget Car Rental,1,1.0,34,['carrental']
Dollar Car Rental,36,2.0,34,['carrental']
National Car Rental,14,4.0,35,['carrental']
Select Car Rental,6,2.0,35,"['autorepair', 'carrental', 'carwash']"
Thrifty Car Rental,2,2.5,35,['carrental']
Budget Car Rental,28,2.0,35,['carrental']
Dollar Car Rental,36,2.0,35,['carrental']
National Car Rental,14,4.0,36,['carrental']
Thrifty Car Rental,2,2.5,36,['carrental']
Budget Car Rental,1,1.0,36,['carrental']
Dollar Car Rental,36,2.0,36,['carrental']
National Car Rental,14,4.0,37,['carrental']
Select Car Rental,6,2.0,37,"['autorepair', 'carrental', 'carwash']"
Budget Car Rental,1,1.0,37,['carrental']
Thrifty Car Rental,2,2.5,37,['carrental']
Dollar Car Rental,36,2.0,37,['carrental']
National Car Rental,14,4.0,39,['carrental']
Thrifty Car Rental,2,2.5,39,['carrental']
Dollar Car Rental,21,2.5,39,['carrental']
Hertz Rent A Car,53,3.0,40,['carrental']
National Car Rental,14,4.0,42,['carrental']
Thrifty Car Rental,2,2.5,42,['carrental']
Dollar Car Rental,21,2.5,42,['carrental']
Budget Car Rental,1,1.0,42,['carrental']
National Car Rental,22,4.0,44,['carrental']
Budget Car Rental,28,2.0,44,['carrental']
Select Car Rental,6,2.0,44,"['autorepair', 'carrental', 'carwash']"
Thrifty Car Rental,2,2.5,44,['carrental']
Dollar Car Rental,36,2.0,44,['carrental']
Hertz Rent A Car,53,3.0,45,['carrental']
Budget Car Rental,22,1.5,46,['carrental']
Car Rental Cambridge,2,5.0,53,['carrental']
National Car Rental,22,4.0,55,['carrental']
Select Car Rental,6,2.0,55,"['autorepair', 'carrental', 'carwash']"
Budget Car Rental,9,1.5,55,['carrental']
Budget Car and Truck Rental,2,1.0,55,['carrental']
Hertz Rent A Car,53,3.0,56,['carrental']
Thrifty Car Rental,39,1.5,58,['carrental']
Hertz Rent A Car,53,3.0,58,['carrental']
U-Save Auto Van & Truck Rental,1,1.0,59,['carrental']
Thrifty Car Rental,39,1.5,60,['carrental']
Hertz Rent A Car,53,3.0,60,['carrental']
Car Rental Cambridge,2,5.0,62,['carrental']
National Car Rental,14,4.0,63,['carrental']
Select Car Rental,6,2.0,63,"['autorepair', 'carrental', 'carwash']"
Thrifty Car Rental,2,2.5,63,['carrental']
Budget Car Rental,1,1.0,63,['carrental']
Dollar Car Rental,36,2.0,63,['carrental']
Car Rental Cambridge,2,5.0,64,['carrental']
Thrifty Car Rental,39,1.5,64,['carrental']
Budget Car Rental,22,1.5,66,['carrental']
National Car Rental,14,4.0,70,['carrental']
Thrifty Car Rental,2,2.5,70,['carrental']
