Name,Review Count,Ratings,Bike Station Id,Category
Luna's Restaurant Italian and Latin Cuisine,122,4.5,0,"['italian', 'latin', 'bars']"
Angela's Cafe - Orient Heights,136,4.5,0,"['mexican', 'breakfast_brunch']"
New Saigon,201,4.5,0,['vietnamese']
Melodias,12,4.0,0,['colombian']
Renegade's Pub,126,4.0,0,"['pubs', 'burgers']"
Donna's Restaurant,179,4.0,0,"['tradamerican', 'breakfast_brunch']"
Royal Roast Beef & Seafood,139,4.0,0,"['seafood', 'tradamerican']"
Little Asia Restaurant,95,4.0,0,['chinese']
Sunny Cafe,103,4.5,0,['sushi']
Milano's Delicatessen,99,4.0,0,"['delis', 'pizza', 'coffee']"
El Kiosco Restaurant,24,4.0,0,"['latin', 'bars']"
Brinkleys Restaurant & Pub,37,3.0,0,"['hotels', 'tradamerican']"
Mi Pueblito Orient Heights,40,3.5,0,"['mexican', 'seafood', 'breakfast_brunch']"
Napoles Restaurant,23,3.0,0,"['colombian', 'bars', 'buffets']"
La Fonda Colombiana,2,4.0,0,"['bars', 'colombian']"
Woody's Pizza & Liquors,51,2.5,0,['pizza']
Sammy Carlo's Delicatessen & Catering,59,4.5,0,"['italian', 'tradamerican', 'delis']"
Burger King,31,1.5,0,"['burgers', 'hotdogs']"
Tequilas Mexican Bar & Grill,5,2.0,0,['mexican']
Subway,9,3.0,0,['sandwiches']
Next Door Speakeasy & Raw Bar,56,4.0,1,"['speakeasies', 'raw_food', 'cocktailbars']"
The Quiet Few,79,4.5,1,"['beer_and_wine', 'burgers', 'cocktailbars']"
ReelHouse Boston,467,3.5,1,"['newamerican', 'seafood', 'breakfast_brunch']"
Cunard Tavern,195,3.5,1,"['tradamerican', 'gastropubs', 'beerbar']"
Mexicali Sushi Bar,18,4.0,1,"['sushi', 'asianfusion', 'bbq']"
La Hacienda Restaurant and Bar,223,4.0,1,"['mexican', 'bars']"
D'Parma Restaurant,151,4.0,1,['italian']
Cafe Iterum,26,4.0,1,['cafes']
Carmella's Market,46,4.5,1,"['cheese', 'delis']"
Santa Fe Burrito Grill - East Boston,19,4.5,1,['mexican']
Santarpio's Pizza,1472,4.0,1,['pizza']
Eagle Hill Cafe,32,4.5,1,"['coffee', 'breakfast_brunch', 'juicebars']"
Hong Kong Harbor Restaurant,69,3.5,1,['chinese']
Toasted Flats,102,4.5,1,"['sandwiches', 'coffee', 'juicebars']"
Sea Biscuit,22,4.5,1,"['bakeries', 'salad', 'sandwiches']"
Pazza on Porter,172,4.0,1,"['italian', 'lounges']"
Boston Sail Loft,1186,4.5,1,"['bars', 'tradamerican', 'seafood']"
Cactus Mexican Grill,109,4.0,1,"['mexican', 'salvadoran']"
El Peñol,154,4.5,1,['colombian']
Dirty Water Dough,74,4.0,1,"['pizza', 'salad', 'sandwiches']"
Next Door Speakeasy & Raw Bar,56,4.0,2,"['speakeasies', 'raw_food', 'cocktailbars']"
The Quiet Few,79,4.5,2,"['beer_and_wine', 'burgers', 'cocktailbars']"
ReelHouse Boston,467,3.5,2,"['newamerican', 'seafood', 'breakfast_brunch']"
La Hacienda Restaurant and Bar,223,4.0,2,"['mexican', 'bars']"
Mexicali Sushi Bar,18,4.0,2,"['sushi', 'asianfusion', 'bbq']"
Cunard Tavern,195,3.5,2,"['tradamerican', 'gastropubs', 'beerbar']"
D'Parma Restaurant,151,4.0,2,['italian']
Eagle Hill Cafe,32,4.5,2,"['coffee', 'breakfast_brunch', 'juicebars']"
Carmella's Market,46,4.5,2,"['cheese', 'delis']"
Santarpio's Pizza,1472,4.0,2,['pizza']
Toasted Flats,102,4.5,2,"['sandwiches', 'coffee', 'juicebars']"
Cafe Iterum,26,4.0,2,['cafes']
Hong Kong Harbor Restaurant,69,3.5,2,['chinese']
Santa Fe Burrito Grill - East Boston,19,4.5,2,['mexican']
Pazza on Porter,172,4.0,2,"['italian', 'lounges']"
Boston Sail Loft,1186,4.5,2,"['bars', 'tradamerican', 'seafood']"
Sea Biscuit,22,4.5,2,"['bakeries', 'salad', 'sandwiches']"
Cactus Mexican Grill,109,4.0,2,"['mexican', 'salvadoran']"
El Peñol,154,4.5,2,['colombian']
Dirty Water Dough,74,4.0,2,"['pizza', 'salad', 'sandwiches']"
Luna's Restaurant Italian and Latin Cuisine,122,4.5,3,"['italian', 'latin', 'bars']"
Brinkleys Restaurant & Pub,37,3.0,3,"['hotels', 'tradamerican']"
New Saigon,201,4.5,3,['vietnamese']
Royal Roast Beef & Seafood,139,4.0,3,"['seafood', 'tradamerican']"
Rincon Limeño Restaurant,332,4.5,3,"['latin', 'peruvian']"
Sammy Carlo's Delicatessen & Catering,59,4.5,3,"['italian', 'tradamerican', 'delis']"
Renegade's Pub,126,4.0,3,"['pubs', 'burgers']"
Taqueria Jalisco,460,4.5,3,['mexican']
Angela's Cafe - Orient Heights,136,4.5,3,"['mexican', 'breakfast_brunch']"
Donna's Restaurant,179,4.0,3,"['tradamerican', 'breakfast_brunch']"
Little Asia Restaurant,95,4.0,3,['chinese']
Sunny Cafe,103,4.5,3,['sushi']
Pikalo Empanada,20,4.5,3,"['dominican', 'sandwiches', 'empanadas']"
Perros Paisas,10,4.5,3,"['hotdog', 'tradamerican', 'hotdogs']"
El Kiosco Restaurant,24,4.0,3,"['latin', 'bars']"
Melodias,12,4.0,3,['colombian']
Milano's Delicatessen,99,4.0,3,"['delis', 'pizza', 'coffee']"
Chinese Dragon,124,3.0,3,['chinese']
Tu Metapan Restaurant,37,4.0,3,['salvadoran']
Mi Pueblito Orient Heights,40,3.5,3,"['mexican', 'seafood', 'breakfast_brunch']"
Next Door Speakeasy & Raw Bar,56,4.0,4,"['speakeasies', 'raw_food', 'cocktailbars']"
La Hacienda Restaurant and Bar,223,4.0,4,"['mexican', 'bars']"
ReelHouse Boston,467,3.5,4,"['newamerican', 'seafood', 'breakfast_brunch']"
El Peñol,154,4.5,4,['colombian']
Eagle Hill Cafe,32,4.5,4,"['coffee', 'breakfast_brunch', 'juicebars']"
Santarpio's Pizza,1472,4.0,4,['pizza']
Pazza on Porter,172,4.0,4,"['italian', 'lounges']"
D'Parma Restaurant,151,4.0,4,['italian']
Toasted Flats,102,4.5,4,"['sandwiches', 'coffee', 'juicebars']"
Cunard Tavern,195,3.5,4,"['tradamerican', 'gastropubs', 'beerbar']"
Kelley Square Pub,202,4.0,4,"['pubs', 'tradamerican', 'pizza']"
Saigon Hut,192,4.0,4,['vietnamese']
The Quiet Few,79,4.5,4,"['beer_and_wine', 'burgers', 'cocktailbars']"
tori japan,4,4.5,4,['japanese']
Meridian Food Market,130,4.5,4,"['italian', 'sandwiches', 'salad']"
Cafe Iterum,26,4.0,4,['cafes']
Mexicali Sushi Bar,18,4.0,4,"['sushi', 'asianfusion', 'bbq']"
Dirty Water Dough,74,4.0,4,"['pizza', 'salad', 'sandwiches']"
La Casa Del Pandebono,47,5.0,4,"['bakeries', 'salvadoran', 'mexican']"
Pier 6 Boston Waterfront,485,3.5,4,"['bars', 'newamerican', 'seafood']"
Tonino,24,4.5,5,"['italian', 'cocktailbars']"
Vee Vee,307,4.0,5,['newamerican']
The Haven,594,4.5,5,"['gastropubs', 'scottish', 'fishnchips']"
Evergreen Eatery,165,4.5,5,"['breakfast_brunch', 'tradamerican']"
The Joint,82,4.0,5,"['beer_and_wine', 'newamerican', 'breakfast_brunch']"
Ten Tables,693,4.0,5,['newamerican']
Flavor Boom - Boston,22,4.0,5,"['asianfusion', 'mediterranean']"
Galway House,263,4.0,5,"['bars', 'seafood', 'tradamerican']"
Tres Gatos,569,4.0,5,"['tapas', 'wine_bars', 'vinyl_records']"
Sweet Rice JP,136,4.0,5,"['thai', 'sushi']"
JP Seafood Cafe,365,4.0,5,"['japanese', 'korean', 'seafood']"
Soup Shack - Jamaica Plain,302,4.5,5,"['ramen', 'vietnamese', 'thai']"
Third Cliff Bakery,57,5.0,5,"['cafes', 'coffee', 'bakeries']"
Chilacates Mexican Street Food,576,4.5,5,['mexican']
Noodle Barn,227,3.5,5,['noodles']
Casa Verde,243,3.5,5,['mexican']
El Embajador,40,4.0,5,['dominican']
JPizle Kitchen,88,4.0,5,"['colombian', 'breakfast_brunch', 'seafood']"
Ula Café,504,4.0,5,"['coffee', 'bakeries', 'sandwiches']"
Jamaica Mi Hungry,88,4.0,6,['caribbean']
Blue Nile Restaurant,350,4.0,6,['ethiopian']
Pikalo,171,4.5,6,"['sandwiches', 'dominican']"
Chilacates Mexican Street Food,576,4.5,6,['mexican']
The Haven,594,4.5,6,"['gastropubs', 'scottish', 'fishnchips']"
El Oriental De Cuba,527,4.0,6,"['cuban', 'caribbean', 'breakfast_brunch']"
Tori Japan,17,3.5,6,"['sushi', 'teppanyaki']"
Tostado Sandwich Bar,24,3.5,6,"['sandwiches', 'juicebars']"
Ethiopian Cafe,65,4.5,6,"['ethiopian', 'vegetarian']"
Alex's Chimis,159,4.0,6,['dominican']
Gondres Bakery,42,4.5,6,"['bakeries', 'sandwiches', 'empanadas']"
